"","country_region","lat","long","date","status","cases"
"203","Albania",41.1533,20.1683,"2/28/20","confirmed",0
"204","Albania",41.1533,20.1683,"2/28/20","deaths",0
"205","Albania",41.1533,20.1683,"2/29/20","confirmed",0
"206","Albania",41.1533,20.1683,"2/29/20","deaths",0
"207","Albania",41.1533,20.1683,"3/1/20","confirmed",0
"208","Albania",41.1533,20.1683,"3/1/20","deaths",0
"209","Albania",41.1533,20.1683,"3/2/20","confirmed",0
"210","Albania",41.1533,20.1683,"3/2/20","deaths",0
"211","Albania",41.1533,20.1683,"3/3/20","confirmed",0
"212","Albania",41.1533,20.1683,"3/3/20","deaths",0
"213","Albania",41.1533,20.1683,"3/4/20","confirmed",0
"214","Albania",41.1533,20.1683,"3/4/20","deaths",0
"215","Albania",41.1533,20.1683,"3/5/20","confirmed",0
"216","Albania",41.1533,20.1683,"3/5/20","deaths",0
"217","Albania",41.1533,20.1683,"3/6/20","confirmed",0
"218","Albania",41.1533,20.1683,"3/6/20","deaths",0
"219","Albania",41.1533,20.1683,"3/7/20","confirmed",0
"220","Albania",41.1533,20.1683,"3/7/20","deaths",0
"221","Albania",41.1533,20.1683,"3/8/20","confirmed",0
"222","Albania",41.1533,20.1683,"3/8/20","deaths",0
"223","Albania",41.1533,20.1683,"3/9/20","confirmed",2
"224","Albania",41.1533,20.1683,"3/9/20","deaths",0
"225","Albania",41.1533,20.1683,"3/10/20","confirmed",10
"226","Albania",41.1533,20.1683,"3/10/20","deaths",0
"227","Albania",41.1533,20.1683,"3/11/20","confirmed",12
"228","Albania",41.1533,20.1683,"3/11/20","deaths",1
"229","Albania",41.1533,20.1683,"3/12/20","confirmed",23
"230","Albania",41.1533,20.1683,"3/12/20","deaths",1
"231","Albania",41.1533,20.1683,"3/13/20","confirmed",33
"232","Albania",41.1533,20.1683,"3/13/20","deaths",1
"233","Albania",41.1533,20.1683,"3/14/20","confirmed",38
"234","Albania",41.1533,20.1683,"3/14/20","deaths",1
"235","Albania",41.1533,20.1683,"3/15/20","confirmed",42
"236","Albania",41.1533,20.1683,"3/15/20","deaths",1
"237","Albania",41.1533,20.1683,"3/16/20","confirmed",51
"238","Albania",41.1533,20.1683,"3/16/20","deaths",1
"239","Albania",41.1533,20.1683,"3/17/20","confirmed",55
"240","Albania",41.1533,20.1683,"3/17/20","deaths",1
"241","Albania",41.1533,20.1683,"3/18/20","confirmed",59
"242","Albania",41.1533,20.1683,"3/18/20","deaths",2
"243","Albania",41.1533,20.1683,"3/19/20","confirmed",64
"244","Albania",41.1533,20.1683,"3/19/20","deaths",2
"245","Albania",41.1533,20.1683,"3/20/20","confirmed",70
"246","Albania",41.1533,20.1683,"3/20/20","deaths",2
"247","Albania",41.1533,20.1683,"3/21/20","confirmed",76
"248","Albania",41.1533,20.1683,"3/21/20","deaths",2
"249","Albania",41.1533,20.1683,"3/22/20","confirmed",89
"250","Albania",41.1533,20.1683,"3/22/20","deaths",2
"251","Albania",41.1533,20.1683,"3/23/20","confirmed",104
"252","Albania",41.1533,20.1683,"3/23/20","deaths",4
"253","Albania",41.1533,20.1683,"3/24/20","confirmed",123
"254","Albania",41.1533,20.1683,"3/24/20","deaths",5
"255","Albania",41.1533,20.1683,"3/25/20","confirmed",146
"256","Albania",41.1533,20.1683,"3/25/20","deaths",5
"257","Algeria",28.0339,1.6596,"1/22/20","confirmed",0
"258","Algeria",28.0339,1.6596,"1/22/20","deaths",0
"259","Algeria",28.0339,1.6596,"1/23/20","confirmed",0
"260","Algeria",28.0339,1.6596,"1/23/20","deaths",0
"261","Algeria",28.0339,1.6596,"1/24/20","confirmed",0
"262","Algeria",28.0339,1.6596,"1/24/20","deaths",0
"263","Algeria",28.0339,1.6596,"1/25/20","confirmed",0
"264","Algeria",28.0339,1.6596,"1/25/20","deaths",0
"265","Algeria",28.0339,1.6596,"1/26/20","confirmed",0
"266","Algeria",28.0339,1.6596,"1/26/20","deaths",0
"267","Algeria",28.0339,1.6596,"1/27/20","confirmed",0
"268","Algeria",28.0339,1.6596,"1/27/20","deaths",0
"269","Algeria",28.0339,1.6596,"1/28/20","confirmed",0
"270","Algeria",28.0339,1.6596,"1/28/20","deaths",0
"271","Algeria",28.0339,1.6596,"1/29/20","confirmed",0
"272","Algeria",28.0339,1.6596,"1/29/20","deaths",0
"273","Algeria",28.0339,1.6596,"1/30/20","confirmed",0
"274","Algeria",28.0339,1.6596,"1/30/20","deaths",0
"275","Algeria",28.0339,1.6596,"1/31/20","confirmed",0
"276","Algeria",28.0339,1.6596,"1/31/20","deaths",0
"277","Algeria",28.0339,1.6596,"2/1/20","confirmed",0
"278","Algeria",28.0339,1.6596,"2/1/20","deaths",0
"279","Algeria",28.0339,1.6596,"2/2/20","confirmed",0
"280","Algeria",28.0339,1.6596,"2/2/20","deaths",0
"281","Algeria",28.0339,1.6596,"2/3/20","confirmed",0
"282","Algeria",28.0339,1.6596,"2/3/20","deaths",0
"283","Algeria",28.0339,1.6596,"2/4/20","confirmed",0
"284","Algeria",28.0339,1.6596,"2/4/20","deaths",0
"285","Algeria",28.0339,1.6596,"2/5/20","confirmed",0
"286","Algeria",28.0339,1.6596,"2/5/20","deaths",0
"287","Algeria",28.0339,1.6596,"2/6/20","confirmed",0
"288","Algeria",28.0339,1.6596,"2/6/20","deaths",0
"289","Algeria",28.0339,1.6596,"2/7/20","confirmed",0
"290","Algeria",28.0339,1.6596,"2/7/20","deaths",0
"291","Algeria",28.0339,1.6596,"2/8/20","confirmed",0
"292","Algeria",28.0339,1.6596,"2/8/20","deaths",0
"293","Algeria",28.0339,1.6596,"2/9/20","confirmed",0
"294","Algeria",28.0339,1.6596,"2/9/20","deaths",0
"295","Algeria",28.0339,1.6596,"2/10/20","confirmed",0
"296","Algeria",28.0339,1.6596,"2/10/20","deaths",0
"297","Algeria",28.0339,1.6596,"2/11/20","confirmed",0
"298","Algeria",28.0339,1.6596,"2/11/20","deaths",0
"299","Algeria",28.0339,1.6596,"2/12/20","confirmed",0
"300","Algeria",28.0339,1.6596,"2/12/20","deaths",0
"301","Algeria",28.0339,1.6596,"2/13/20","confirmed",0
"302","Algeria",28.0339,1.6596,"2/13/20","deaths",0
"303","Algeria",28.0339,1.6596,"2/14/20","confirmed",0
"304","Algeria",28.0339,1.6596,"2/14/20","deaths",0
"305","Algeria",28.0339,1.6596,"2/15/20","confirmed",0
"306","Algeria",28.0339,1.6596,"2/15/20","deaths",0
"307","Algeria",28.0339,1.6596,"2/16/20","confirmed",0
"308","Algeria",28.0339,1.6596,"2/16/20","deaths",0
"309","Algeria",28.0339,1.6596,"2/17/20","confirmed",0
"310","Algeria",28.0339,1.6596,"2/17/20","deaths",0
"311","Algeria",28.0339,1.6596,"2/18/20","confirmed",0
"312","Algeria",28.0339,1.6596,"2/18/20","deaths",0
"313","Algeria",28.0339,1.6596,"2/19/20","confirmed",0
"314","Algeria",28.0339,1.6596,"2/19/20","deaths",0
