"","province_state","country_region","lat","long","date","status","cases"
"188",NA,"Afghanistan",33,65,"3/8/20","active",4
"189",NA,"Afghanistan",33,65,"3/9/20","confirmed",4
"190",NA,"Afghanistan",33,65,"3/9/20","deaths",0
"191",NA,"Afghanistan",33,65,"3/9/20","recovered",0
"192",NA,"Afghanistan",33,65,"3/9/20","active",4
"193",NA,"Afghanistan",33,65,"3/10/20","confirmed",5
"194",NA,"Afghanistan",33,65,"3/10/20","deaths",0
"195",NA,"Afghanistan",33,65,"3/10/20","recovered",0
"196",NA,"Afghanistan",33,65,"3/10/20","active",5
"197",NA,"Afghanistan",33,65,"3/11/20","confirmed",7
"198",NA,"Afghanistan",33,65,"3/11/20","deaths",0
"199",NA,"Afghanistan",33,65,"3/11/20","recovered",0
"200",NA,"Afghanistan",33,65,"3/11/20","active",7
"201",NA,"Afghanistan",33,65,"3/12/20","confirmed",7
"202",NA,"Afghanistan",33,65,"3/12/20","deaths",0
"203",NA,"Afghanistan",33,65,"3/12/20","recovered",0
"204",NA,"Afghanistan",33,65,"3/12/20","active",7
"205",NA,"Afghanistan",33,65,"3/13/20","confirmed",7
"206",NA,"Afghanistan",33,65,"3/13/20","deaths",0
"207",NA,"Afghanistan",33,65,"3/13/20","recovered",0
"208",NA,"Afghanistan",33,65,"3/13/20","active",7
"209",NA,"Afghanistan",33,65,"3/14/20","confirmed",11
"210",NA,"Afghanistan",33,65,"3/14/20","deaths",0
"211",NA,"Afghanistan",33,65,"3/14/20","recovered",0
"212",NA,"Afghanistan",33,65,"3/14/20","active",11
"213",NA,"Afghanistan",33,65,"3/15/20","confirmed",16
"214",NA,"Afghanistan",33,65,"3/15/20","deaths",0
"215",NA,"Afghanistan",33,65,"3/15/20","recovered",0
"216",NA,"Afghanistan",33,65,"3/15/20","active",16
"217",NA,"Afghanistan",33,65,"3/16/20","confirmed",21
"218",NA,"Afghanistan",33,65,"3/16/20","deaths",0
"219",NA,"Afghanistan",33,65,"3/16/20","recovered",1
"220",NA,"Afghanistan",33,65,"3/16/20","active",20
"221",NA,"Afghanistan",33,65,"3/17/20","confirmed",22
"222",NA,"Afghanistan",33,65,"3/17/20","deaths",0
"223",NA,"Afghanistan",33,65,"3/17/20","recovered",1
"224",NA,"Afghanistan",33,65,"3/17/20","active",21
"225",NA,"Afghanistan",33,65,"3/18/20","confirmed",22
"226",NA,"Afghanistan",33,65,"3/18/20","deaths",0
"227",NA,"Afghanistan",33,65,"3/18/20","recovered",1
"228",NA,"Afghanistan",33,65,"3/18/20","active",21
"229",NA,"Afghanistan",33,65,"3/19/20","confirmed",22
"230",NA,"Afghanistan",33,65,"3/19/20","deaths",0
"231",NA,"Afghanistan",33,65,"3/19/20","recovered",1
"232",NA,"Afghanistan",33,65,"3/19/20","active",21
"233",NA,"Afghanistan",33,65,"3/20/20","confirmed",24
"234",NA,"Afghanistan",33,65,"3/20/20","deaths",0
"235",NA,"Afghanistan",33,65,"3/20/20","recovered",1
"236",NA,"Afghanistan",33,65,"3/20/20","active",23
"237",NA,"Afghanistan",33,65,"3/21/20","confirmed",24
"238",NA,"Afghanistan",33,65,"3/21/20","deaths",0
"239",NA,"Afghanistan",33,65,"3/21/20","recovered",1
"240",NA,"Afghanistan",33,65,"3/21/20","active",23
"241",NA,"Afghanistan",33,65,"3/22/20","confirmed",40
"242",NA,"Afghanistan",33,65,"3/22/20","deaths",1
"243",NA,"Afghanistan",33,65,"3/22/20","recovered",1
"244",NA,"Afghanistan",33,65,"3/22/20","active",38
"245",NA,"Afghanistan",33,65,"3/23/20","confirmed",40
"246",NA,"Afghanistan",33,65,"3/23/20","deaths",1
"247",NA,"Afghanistan",33,65,"3/23/20","recovered",1
"248",NA,"Afghanistan",33,65,"3/23/20","active",38
"249",NA,"Afghanistan",33,65,"3/24/20","confirmed",74
"250",NA,"Afghanistan",33,65,"3/24/20","deaths",1
"251",NA,"Afghanistan",33,65,"3/24/20","recovered",1
"252",NA,"Afghanistan",33,65,"3/24/20","active",72
"253",NA,"Afghanistan",33,65,"3/25/20","confirmed",84
"254",NA,"Afghanistan",33,65,"3/25/20","deaths",2
"255",NA,"Afghanistan",33,65,"3/25/20","recovered",2
"256",NA,"Afghanistan",33,65,"3/25/20","active",80
"257",NA,"Afghanistan",33,65,"3/26/20","confirmed",94
"258",NA,"Afghanistan",33,65,"3/26/20","deaths",4
"259",NA,"Afghanistan",33,65,"3/26/20","recovered",2
"260",NA,"Afghanistan",33,65,"3/26/20","active",88
"261",NA,"Albania",41.1533,20.1683,"1/22/20","confirmed",0
"262",NA,"Albania",41.1533,20.1683,"1/22/20","deaths",0
"263",NA,"Albania",41.1533,20.1683,"1/22/20","recovered",0
"264",NA,"Albania",41.1533,20.1683,"1/22/20","active",0
"265",NA,"Albania",41.1533,20.1683,"1/23/20","confirmed",0
"266",NA,"Albania",41.1533,20.1683,"1/23/20","deaths",0
"267",NA,"Albania",41.1533,20.1683,"1/23/20","recovered",0
"268",NA,"Albania",41.1533,20.1683,"1/23/20","active",0
"269",NA,"Albania",41.1533,20.1683,"1/24/20","confirmed",0
"270",NA,"Albania",41.1533,20.1683,"1/24/20","deaths",0
"271",NA,"Albania",41.1533,20.1683,"1/24/20","recovered",0
"272",NA,"Albania",41.1533,20.1683,"1/24/20","active",0
"273",NA,"Albania",41.1533,20.1683,"1/25/20","confirmed",0
"274",NA,"Albania",41.1533,20.1683,"1/25/20","deaths",0
"275",NA,"Albania",41.1533,20.1683,"1/25/20","recovered",0
"276",NA,"Albania",41.1533,20.1683,"1/25/20","active",0
"277",NA,"Albania",41.1533,20.1683,"1/26/20","confirmed",0
"278",NA,"Albania",41.1533,20.1683,"1/26/20","deaths",0
"279",NA,"Albania",41.1533,20.1683,"1/26/20","recovered",0
"280",NA,"Albania",41.1533,20.1683,"1/26/20","active",0
"281",NA,"Albania",41.1533,20.1683,"1/27/20","confirmed",0
"282",NA,"Albania",41.1533,20.1683,"1/27/20","deaths",0
"283",NA,"Albania",41.1533,20.1683,"1/27/20","recovered",0
"284",NA,"Albania",41.1533,20.1683,"1/27/20","active",0
"285",NA,"Albania",41.1533,20.1683,"1/28/20","confirmed",0
"286",NA,"Albania",41.1533,20.1683,"1/28/20","deaths",0
"287",NA,"Albania",41.1533,20.1683,"1/28/20","recovered",0
"288",NA,"Albania",41.1533,20.1683,"1/28/20","active",0
"289",NA,"Albania",41.1533,20.1683,"1/29/20","confirmed",0
"290",NA,"Albania",41.1533,20.1683,"1/29/20","deaths",0
